"109年07月20日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","6.65","108","10.97","1.33","109/1",
"1102","亞泥","6.59","108","10.02","1.08","109/1",
"1103","嘉泥","5.57","108","12.05","0.55","109/1",
"1104","環泥","5.81","108","10.96","0.64","109/1",
"1108","幸福","1.50","108","23.76","0.93","109/1",
"1109","信大","6.57","108","6.18","0.83","109/1",
"1110","東泥","0.61","108","-","1.13","109/1",
"1201","味全","5.92","108","44.02","1.81","109/1",
"1203","味王","3.35","108","15.55","1.41","109/1",
"1210","大成","4.64","108","15.71","2.23","109/1",
"1213","大飲","0.00","108","-","1.03","109/1",
"1215","卜蜂","5.88","108","12.52","2.34","109/1",
"1216","統一","3.44","108","22.69","3.69","109/1",
"1217","愛之味","0.00","108","62.67","0.68","109/1",
"1218","泰山","3.91","108","18.55","1.67","109/1",
"1219","福壽","1.95","108","15.07","1.57","109/1",
"1220","台榮","5.08","108","15.73","0.90","109/1",
"1225","福懋油","3.43","108","24.48","2.53","109/1",
"1227","佳格","4.18","108","17.81","3.35","109/1",
"1229","聯華","7.12","108","25.54","1.87","109/1",
"1231","聯華食","4.65","108","15.43","2.12","109/1",
"1232","大統益","4.15","108","20.42","4.45","109/1",
"1233","天仁","4.27","108","28.37","2.15","109/1",
"1234","黑松","5.27","108","16.37","0.72","109/1",
"1235","興泰","3.86","108","40.71","1.17","109/1",
"1236","宏亞","2.29","108","68.95","0.91","109/1",
"1256","鮮活果汁-KY","2.98","108","15.01","3.49","109/1",
"1301","台塑","5.47","108","17.81","1.65","109/1",
"1303","南亞","3.46","108","26.46","1.55","109/1",
"1304","台聚","3.98","108","10.82","0.73","109/1",
"1305","華夏","5.26","108","13.01","1.17","109/1",
"1307","三芳","3.87","108","18.94","1.02","109/1",
"1308","亞聚","5.66","108","12.97","1.10","109/1",
"1309","台達化","3.80","108","15.19","1.21","109/1",
"1310","台苯","6.54","108","34.00","1.23","109/1",
"1312","國喬","0.00","108","8.87","0.57","109/1",
"1313","聯成","2.02","108","-","0.69","109/1",
"1314","中石化","3.66","108","18.64","0.38","109/1",
"1315","達新","7.19","108","13.84","1.25","109/1",
"1316","上曜","0.00","108","-","1.38","109/1",
"1319","東陽","4.99","108","11.48","0.97","109/1",
"1321","大洋","0.00","108","19.52","1.35","109/1",
"1323","永裕","4.90","108","9.83","1.52","109/1",
"1324","地球","3.06","108","49.00","0.75","109/1",
"1325","恆大","0.20","108","86.49","6.95","109/1",
"1326","台化","5.35","108","25.09","1.34","109/1",
"1337","再生-KY","0.00","108","-","0.21","109/1",
"1338","廣華-KY","6.09","108","16.76","0.78","109/1",
"1339","昭輝","4.43","108","9.89","0.95","109/1",
"1340","勝悅-KY","0.00","108","-","0.31","109/1",
"1341","富林-KY","8.52","108","9.41","2.27","109/1",
"1402","遠東新","4.95","108","15.86","0.79","109/1",
"1409","新纖","4.76","108","11.91","0.67","109/1",
"1410","南染","2.97","108","31.75","2.03","109/1",
"1413","宏洲","0.00","108","-","0.97","109/1",
"1414","東和","2.91","108","57.25","0.50","109/1",
"1416","廣豐","0.00","108","-","0.74","109/1",
"1417","嘉裕","5.26","108","5.97","0.63","109/1",
"1418","東華","0.00","108","-","0.71","109/1",
"1419","新紡","2.14","108","34.41","1.79","109/1",
"1423","利華","0.89","108","-","0.81","109/1",
"1432","大魯閣","0.00","108","-","0.92","109/1",
"1434","福懋","7.81","108","10.53","0.94","109/1",
"1435","中福","0.00","108","-","1.24","109/1",
"1436","華友聯","6.58","108","17.19","1.31","109/1",
"1437","勤益控","4.89","108","5.83","0.72","109/1",
"1438","裕豐","0.00","108","37.29","2.38","109/1",
"1439","中和","13.23","108","3.62","1.24","109/1",
"1440","南紡","1.82","108","110.00","0.76","109/1",
"1441","大東","0.00","108","-","0.75","109/1",
"1442","名軒","5.56","108","58.06","1.08","109/1",
"1443","立益","0.00","108","-","1.07","109/1",
"1444","力麗","0.00","108","-","0.71","109/1",
"1445","大宇","2.30","108","-","0.69","109/1",
"1446","宏和","1.04","108","288.50","2.55","109/1",
"1447","力鵬","0.00","108","-","0.60","109/1",
"1449","佳和","0.00","108","-","3.58","109/1",
"1451","年興","0.00","108","-","0.49","109/1",
"1452","宏益","7.55","108","16.22","0.84","109/1",
"1453","大將","2.46","108","-","0.66","109/1",
"1454","台富","3.00","108","39.71","0.69","109/1",
